Dummy_local_title;Dummy_local;;;;;;;;;;;;;x
Dummy_local_desc;If you see this something has gone VERY wrong!;;;;;;;;;;;;;x
Convert_SouthAfrica_title;Restructure the South African Territories;;;;;;;;;;;;;x
Convert_SouthAfrica_desc;We currently control territory in South Africa, We could use this influence to mold these lands in our image. This decision will change South Africa into a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
reject_anticultural_southafrica_title;We Have Lost Out True Identity;;;;;;;;;;;;;x
reject_anticultural_southafrica_desc;We currently control territory in South Africa, We could use this influence to mold these lands in our image. This decision will release South Africa as a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
intergrate_southafrica_lands_title;Dynamic Colonial Holding;;;;;;;;;;;;;x
intergrate_southafrica_lands_desc;We currently control territory which could be intergrated into our South African administration, should we entrust them with these. This decision will secede any of your South African holding to your South African puppet.;;;;;;;;;;;;;x
Convert_Fujian_title;Restructure the Fujian Territories;;;;;;;;;;;;;x
Convert_Fujian_desc;We currently control territory in Fujian, We could use this influence to mold these lands in our image. This decision will change Fujian into Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
reject_anticultural_Fujian_title;We Have Lost Out True Identity;;;;;;;;;;;;;x
reject_anticultural_Fujian_desc;We currently control territory in Fujian, We could use this influence to mold these lands in our image. This decision will release Fujian as a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
#intergrate_Fujian_lands_title;Dynamic Colonial Holding;;;;;;;;;;;;;x
#intergrate_Fujian_lands_desc;We currently control territory which could be intergrated into our Fujian administration, should we entrust them with these. This decision will secede any of your Fujian holding to your Fujian Colony.;;;;;;;;;;;;;x
SAF_dominion_5th;Yuzhnoafrikanskaya Koloniya;;;;;;;;;;;;;
SAF_dominion_5th_ADJ;Yug Afrika;;;;;;;;;;;;;
SAF_dominion_6th;Kaapkolonie;;;;;;;;;;;;;
SAF_dominion_6th_ADJ;Kaapkolonie;;;;;;;;;;;;;
SAF_dominion_7th;Dominion of South Africa;;;;;;;;;;;;;
SAF_dominion_7th_ADJ;South African;;;;;;;;;;;;;
SAF_dominion_8th;Südafrika;;;;;;;;;;;;;
SAF_dominion_8th_ADJ;Südafrika;;;;;;;;;;;;;
SAF_dominion_9th;Zhongguó Nánfei;;;;;;;;;;;;;
SAF_dominion_9th_ADJ;Nánfei;;;;;;;;;;;;;
SAF_dominion_10th;Afrique du Sud;;;;;;;;;;;;;
SAF_dominion_10th_ADJ;Afrique du Sud;;;;;;;;;;;;;
SAF_dominion_11th;South Africa;;;;;;;;;;;;;
SAF_dominion_11th_ADJ;South Africa;;;;;;;;;;;;;
SAF_dominion_12th;Österreichischen Südafrika;;;;;;;;;;;;;
SAF_dominion_12th_ADJ;Österreichischen;;;;;;;;;;;;;
SAF_dominion_13th;Africa Sud Italiana;;;;;;;;;;;;;
SAF_dominion_13th_ADJ;Italian African;;;;;;;;;;;;;
SAF_dominion_14th;Estado da África do Sul;;;;;;;;;;;;;
SAF_dominion_14th_ADJ;Sul-africano;;;;;;;;;;;;;
SAF_dominion_15th;Afrique du Sud Belge;;;;;;;;;;;;;
SAF_dominion_15th_ADJ;Afrique du Belge;;;;;;;;;;;;;
SAF_dominion_16th;Kiboho no teiju;;;;;;;;;;;;;
SAF_dominion_16th_ADJ;Kiboho;;;;;;;;;;;;;
SAF_dominion_17th;Territorio de Sudáfrica;;;;;;;;;;;;;
SAF_dominion_17th_ADJ;Sudáfrica;;;;;;;;;;;;;
SAF_dominion_18th;Godahoppsudden;;;;;;;;;;;;;
SAF_dominion_18th_ADJ;Godahoppsudden;;;;;;;;;;;;;
SAF_dominion_19th;Kap Det Gode Håb;;;;;;;;;;;;;
SAF_dominion_19th_ADJ;Sydafrika;;;;;;;;;;;;;
FJN_dominion_5th;Futszyanskaya Koncessiya;;;;;;;;;;;;;
FJN_dominion_5th_ADJ;Futszyanskaya;;;;;;;;;;;;;
FJN_dominion_6th;Regering van Fujian;;;;;;;;;;;;;
FJN_dominion_6th_ADJ;Fujian;;;;;;;;;;;;;
FJN_dominion_7th;The Fujian Concession;;;;;;;;;;;;;
FJN_dominion_7th_ADJ;Fujian;;;;;;;;;;;;;
FJN_dominion_8th;Deutsch-Fujian;;;;;;;;;;;;;
FJN_dominion_8th_ADJ;Deutsch-Fujian;;;;;;;;;;;;;
FJN_dominion_9th;Fujian;;;;;;;;;;;;;
FJN_dominion_9th_ADJ;Fujian;;;;;;;;;;;;;
FJN_dominion_10th;Concession Francaise de Fujian;;;;;;;;;;;;;
FJN_dominion_10th_ADJ;Fujian;;;;;;;;;;;;;
FJN_dominion_11th;Fujian;;;;;;;;;;;;;
FJN_dominion_11th_ADJ;Fujian;;;;;;;;;;;;;
FJN_dominion_12th;Österreichischen Fujian;;;;;;;;;;;;;
FJN_dominion_12th_ADJ;Österreichischen;;;;;;;;;;;;;
FJN_dominion_13th;Governo Italiano di Fujian;;;;;;;;;;;;;
FJN_dominion_13th_ADJ;Italian Fujian;;;;;;;;;;;;;
FJN_dominion_14th;Estado da Fujian;;;;;;;;;;;;;
FJN_dominion_14th_ADJ;Fujian;;;;;;;;;;;;;
FJN_dominion_15th;Fujian du Belge;;;;;;;;;;;;;
FJN_dominion_15th_ADJ;Fujian du Belge;;;;;;;;;;;;;
FJN_dominion_16th;Fukkensho;;;;;;;;;;;;;
FJN_dominion_16th_ADJ;Fukkensho;;;;;;;;;;;;;
FJN_dominion_17th;Gobierno de Fujian;;;;;;;;;;;;;
FJN_dominion_17th_ADJ;Fujian;;;;;;;;;;;;;
FJN_dominion_18th;Svenska Fujian;;;;;;;;;;;;;
FJN_dominion_18th_ADJ;Fujian;;;;;;;;;;;;;
FJN_dominion_19th;Dansk Fujian;;;;;;;;;;;;;
FJN_dominion_19th_ADJ;Fujian;;;;;;;;;;;;;
