Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
Greater_Alaska_title;Greater Alaska;;;;;;;;;;;;;
Greater_Alaska_desc;We must expand to secure our position! To this end we must officially stake claim to lands surrounding us.;;;;;;;;;;;;;
claim_lorraine_als_title;Claim Lorraine;;;;;;;;;;;;;
claim_lorraine_als_desc;We must claim Lorraine if we wish to survive! Sandwiched between two great powers, we must expand quickly to defend ourselves.;;;;;;;;;;;;;
Claim_Luxemburg_title;Claim Luxemburg;;;;;;;;;;;;;
Claim_Luxemburg_desc;We must claim Luxemburg if we wish to survive! Sandwiched between two great powers, we must expand quickly to defend ourselves.;;;;;;;;;;;;;
Claim_Borderlands_title;Claim Borderlands;;;;;;;;;;;;;
Claim_Borderlands_desc;We must claim the Borderlands if we wish to survive! Sandwiched between two great powers, we must expand quickly to defend ourselves.;;;;;;;;;;;;;
Claim_Rheinland_title;Claim Rheinland;;;;;;;;;;;;;
Claim_Rheinland_desc;We must claim the Rheinland if we wish to survive! Sandwiched between two great powers, we must expand quickly to defend ourselves.;;;;;;;;;;;;;
Claim_Coast_title;Claim Coast;;;;;;;;;;;;;
Claim_Coast_desc;We must claim Coast if we wish to survive! Sandwiched between two great powers, we must expand quickly to defend ourselves.;;;;;;;;;;;;;
Claim_Northern_France_title;Claim Northern France;;;;;;;;;;;;;
Claim_Northern_France_desc;We must claim Northern France if we wish to survive! Sandwiched between two great powers, we must expand quickly to defend ourselves.;;;;;;;;;;;;;
Accept_Belgians_title;Accept the Belgians;;;;;;;;;;;;;
Accept_Belgians_desc;We must accept the Belgians if we wish to survive! Sandwiched between two great powers, we must pacify our minorities to defend ourselves.;;;;;;;;;;;;;
Accept_French_title;Accept the French;;;;;;;;;;;;;
Accept_French_desc;We must accept the French if we wish to survive! Sandwiched between two great powers, we must pacify our minorities to defend ourselves.;;;;;;;;;;;;;
Greater_Korea_title;Claim Greater Korea;;;;;;;;;;;;;
Greater_Korea_desc;Now that we are independent from Chinese oppression, we must reclaim the land of the old Gojoseon, Goguryeo and Balhae empires.;;;;;;;;;;;;;
Western_Banatia_title;Claim Land in the West;;;;;;;;;;;;;
Western_Banatia_desc;Now that we have established Banatia, we must claim land in the West to secure our position.;;;;;;;;;;;;;
Eastern_Banatia_title;Claim Land in the East;;;;;;;;;;;;;
Eastern_Banatia_desc;Now that we have established Banatia, we must claim land in the East to secure our position.;;;;;;;;;;;;;
Claim_Belgrade_title;Claim Belgrade;;;;;;;;;;;;;
Claim_Belgrade_desc;To weaken the Serbs who continue to claim our Land in the Vojvodina one of our politicians has proposed claiming their capital, namely Belgrade.;;;;;;;;;;;;;
Claim_Forte_title;Claim Forte Sao Joaquim;;;;;;;;;;;;;
Claim_Forte_desc;To connect our lands in former British Guayana with Venezuela we must claim Forte Sao Joaquim;;;;;;;;;;;;;
Claim_ABC_title;Claim the ABC islands;;;;;;;;;;;;;
Claim_ABC_desc;The ABC islands are a foreign base just off our northern coast and as such a threat to us. We must seize them for our own safety.;;;;;;;;;;;;;
Claim_TRT_title;Claim Trinidad and Tobago;;;;;;;;;;;;;
