Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
slot_1;            ;;;;;;;;;;;;;
slot_2;            ;;;;;;;;;;;;;
slot_3;            ;;;;;;;;;;;;;
slot_4;            ;;;;;;;;;;;;;
slot_5;            ;;;;;;;;;;;;;
slot_6;            ;;;;;;;;;;;;;
slot_7;            ;;;;;;;;;;;;;
slot_8;            ;;;;;;;;;;;;;
slot_9;            ;;;;;;;;;;;;;
slot_10;            ;;;;;;;;;;;;;
slot_11;            ;;;;;;;;;;;;;
slot_12;            ;;;;;;;;;;;;;
slot_13;            ;;;;;;;;;;;;;
slot_14;            ;;;;;;;;;;;;;
slot_15;            ;;;;;;;;;;;;;
slot_16;            ;;;;;;;;;;;;;
slot_17;            ;;;;;;;;;;;;;
slot_18;            ;;;;;;;;;;;;;
slot_19;            ;;;;;;;;;;;;;
slot_20;            ;;;;;;;;;;;;;
slot_21;            ;;;;;;;;;;;;;
slot_22;            ;;;;;;;;;;;;;
slot_23;            ;;;;;;;;;;;;;
slot_24;            ;;;;;;;;;;;;;
slot_25;            ;;;;;;;;;;;;;
slot_26;            ;;;;;;;;;;;;;
slot_27;            ;;;;;;;;;;;;;
slot_28;            ;;;;;;;;;;;;;
slot_29;            ;;;;;;;;;;;;;
slot_30;            ;;;;;;;;;;;;;
slot_31;            ;;;;;;;;;;;;;
slot_32;            ;;;;;;;;;;;;;
slot_33;            ;;;;;;;;;;;;;
slot_34;            ;;;;;;;;;;;;;
slot_35;            ;;;;;;;;;;;;;
slot_36;            ;;;;;;;;;;;;;
slot_37;            ;;;;;;;;;;;;;
slot_38;            ;;;;;;;;;;;;;
slot_39;            ;;;;;;;;;;;;;
slot_40;            ;;;;;;;;;;;;;
linebreak_state;\n;;;;;;;;;;;;;
commabreak_state;,;;;;;;;;;;;;;
tabbreak_state;    ;;;;;;;;;;;;;
spacebreak_state; ;;;;;;;;;;;;;
flexicommabreak_state;,;;;;;;;;;;;;;
backslash;/;;;;;;;;;;;;;
colon;|;;;;;;;;;;;;;
loc_and;and;;;;;;;;;;;;;
fullstop_state;.;;;;;;;;;;;;;
white;§W;;;;;;;;;;;;;
blue;§B;;;;;;;;;;;;;
green;§G;;;;;;;;;;;;;
red;§R;;;;;;;;;;;;;
black;§b;;;;;;;;;;;;;
grey;§g;;;;;;;;;;;;;
yellow;§Y;;;;;;;;;;;;;
purple;§p;;;;;;;;;;;;;
clear;§!;;;;;;;;;;;;;
example_event_1;This event is an example of how Dynamic Loc can be applied.\n\n You are currently playing as;;;;;;;;;;;;;
example_event_2;. your capital is;;;;;;;;;;;;;
example_event_3;, which is in the region of;;;;;;;;;;;;;
example_event_4;. Your national adjective is;;;;;;;;;;;;;
example_event_5;. You have fired this event;;;;;;;;;;;;;
example_event_6;times.;;;;;;;;;;;;;
