Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
slot_1;            ;;;;;;;;;;;;;
slot_2;            ;;;;;;;;;;;;;
slot_3;            ;;;;;;;;;;;;;
slot_4;            ;;;;;;;;;;;;;
slot_5;            ;;;;;;;;;;;;;
slot_6;            ;;;;;;;;;;;;;
slot_7;            ;;;;;;;;;;;;;
slot_8;            ;;;;;;;;;;;;;
slot_9;            ;;;;;;;;;;;;;
slot_10;            ;;;;;;;;;;;;;
slot_11;            ;;;;;;;;;;;;;
slot_12;            ;;;;;;;;;;;;;
slot_13;            ;;;;;;;;;;;;;
slot_14;            ;;;;;;;;;;;;;
slot_15;            ;;;;;;;;;;;;;
slot_16;            ;;;;;;;;;;;;;
slot_17;            ;;;;;;;;;;;;;
slot_18;            ;;;;;;;;;;;;;
slot_19;            ;;;;;;;;;;;;;
slot_20;            ;;;;;;;;;;;;;
slot_21;            ;;;;;;;;;;;;;
slot_22;            ;;;;;;;;;;;;;
slot_23;            ;;;;;;;;;;;;;
slot_24;            ;;;;;;;;;;;;;
slot_25;            ;;;;;;;;;;;;;
slot_26;            ;;;;;;;;;;;;;
slot_27;            ;;;;;;;;;;;;;
slot_28;            ;;;;;;;;;;;;;
slot_29;            ;;;;;;;;;;;;;
slot_30;            ;;;;;;;;;;;;;
slot_31;            ;;;;;;;;;;;;;
slot_32;            ;;;;;;;;;;;;;
slot_33;            ;;;;;;;;;;;;;
slot_34;            ;;;;;;;;;;;;;
slot_35;            ;;;;;;;;;;;;;
slot_36;            ;;;;;;;;;;;;;
slot_37;            ;;;;;;;;;;;;;
slot_38;            ;;;;;;;;;;;;;
slot_39;            ;;;;;;;;;;;;;
slot_40;            ;;;;;;;;;;;;;
linebreak_state;\n;;;;;;;;;;;;;
commabreak_state;,;;;;;;;;;;;;;
tabbreak_state;    ;;;;;;;;;;;;;
spacebreak_state; ;;;;;;;;;;;;;
flexicommabreak_state;,;;;;;;;;;;;;;
loc_and;;;;;;;;;;;;;;
fullstop state;.;;;;;;;;;;;;;
white;§W;;;;;;;;;;;;;
blue;§B;;;;;;;;;;;;;
green;§G;;;;;;;;;;;;;
red;§R;;;;;;;;;;;;;
black;§b;;;;;;;;;;;;;
grey;§g;;;;;;;;;;;;;
yellow;§Y;;;;;;;;;;;;;
purple;§p;;;;;;;;;;;;;
clear;§!;;;;;;;;;;;;;
test_region;This event is an example of how Dynamic Loc can be applied. Your currently playing as;;;;;;;;;;;;;
slot_test;, and your capital is;;;;;;;;;;;;;
