Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
#New CBs;;;;;;;;;;;;;;
minor_conquest_desc;Annex a country of small size and population by conquest;;;;;;;;;;;;;
minor_conquest_setup;Annex minor nation of $RECIPIENT$;;;;;;;;;;;;;
minor_conquest_short;Annex $RECIPIENT$;;;;;;;;;;;;;
make_puppet_small;Make Small Puppet;;;;;;;;;;;;;
make_puppet_small_desc;Puppet a §Ycountry§W of small size and population by aggression;;;;;;;;;;;;;
make_puppet_small_setup;Puppet the minor nation of $RECIPIENT$;;;;;;;;;;;;;
make_puppet_small_short;Puppet $RECIPIENT$;;;;;;;;;;;;;
make_puppet_large;Make Large Puppet;;;;;;;;;;;;;
make_puppet_large_desc;Puppet a §Ycountry§W of respectable size and population by aggression;;;;;;;;;;;;;
make_puppet_large_setup;Puppet the nation of $RECIPIENT$;;;;;;;;;;;;;
make_puppet_large_short;Puppet $RECIPIENT$;;;;;;;;;;;;;
demand_concession_casus_belli_player_early_for_puppet;Demand Concession Early for Puppet;Demande de concession;Konzession verlangen;;;;;;;;;;;
demand_concession_casus_belli_player_early_for_puppet_short;Demand $STATE$ for a puppet for 100% more warscore.;Demander $STATE$;Fordern Sie $STATE$;;;;;;;;;;;
demand_concession_casus_belli_player_early_for_puppet_desc;Force the §Ynon-western country§W to secede territory to your puppet for 100% more warscore.;Obligez un §Ypays non civilisé§W ?faire sécession d'un territoire pour former une concession coloniale.;Zwingen Sie ein §Yunzivilisiertes Land§W, Gebiete zur Gründung einer Kolonialkonzession abzuspalten.;;;;;;;;;;;
demand_concession_casus_belli_player_early_for_puppet_setup;Demand that $RECIPIENT$ secede territory to a puppet.;Demandez ?ce que $RECIPIENT$ fasse sécession d'un territoire pour former une concession coloniale.;Verlangen Sie, dass $RECIPIENT$ Gebiete zur Gründung einer Kolonialkonzession abspaltet.;;;;;;;;;;;
demand_concession_casus_belli_ai_early_for_puppet;Demand Concession Early for Puppet;Demande de concession;Konzession verlangen;;;;;;;;;;;
demand_concession_casus_belli_ai_early_for_puppet_short;Demand $STATE$ for a puppet for 10% more warscore.;Demander $STATE$;Fordern Sie $STATE$;;;;;;;;;;;
demand_concession_casus_belli_ai_early_for_puppet_desc;Force the §Ynon-western country§W to secede territory to your puppet for 100% more warscore.;Obligez un §Ypays non civilisé§W ?faire sécession d'un territoire pour former une concession coloniale.;Zwingen Sie ein §Yunzivilisiertes Land§W, Gebiete zur Gründung einer Kolonialkonzession abzuspalten.;;;;;;;;;;;
demand_concession_casus_belli_for_puppet;Demand Concession for a Puppet;Demande de concession;Konzession verlangen;;;;;;;;;;;
demand_concession_casus_belli_for_puppet_short;Demand $STATE$ for a puppet.;Demander $STATE$;Fordern Sie $STATE$;;;;;;;;;;;
