Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
divider_for_org_a; ;;;;;;;;;;;;;
divider_for_org_a_desc; ;;;;;;;;;;;;;
divider_for_org_b; ;;;;;;;;;;;;;
divider_for_org_b_desc; ;;;;;;;;;;;;;
divider_for_org_c; ;;;;;;;;;;;;;
divider_for_org_c_desc; ;;;;;;;;;;;;;
divider_for_org_d; ;;;;;;;;;;;;;
divider_for_org_d_desc; ;;;;;;;;;;;;;
divider_for_org_e; ;;;;;;;;;;;;;
divider_for_org_e_desc; ;;;;;;;;;;;;;
divider_for_org_f; ;;;;;;;;;;;;;
divider_for_org_f_desc; ;;;;;;;;;;;;;
divider_for_org_g; ;;;;;;;;;;;;;
divider_for_org_g_desc; ;;;;;;;;;;;;;
divider_for_org_h; ;;;;;;;;;;;;;
divider_for_org_h_desc; ;;;;;;;;;;;;;
divider_for_org_i; ;;;;;;;;;;;;;
divider_for_org_i_desc; ;;;;;;;;;;;;;
divider_for_org_j; ;;;;;;;;;;;;;
divider_for_org_j_desc; ;;;;;;;;;;;;;
divider_for_org_k; ;;;;;;;;;;;;;
divider_for_org_k_desc; ;;;;;;;;;;;;;
divider_for_org_l; ;;;;;;;;;;;;;
divider_for_org_l_desc; ;;;;;;;;;;;;;
divider_for_org_m; ;;;;;;;;;;;;;
divider_for_org_m_desc; ;;;;;;;;;;;;;
divider_for_org_n; ;;;;;;;;;;;;;
divider_for_org_n_desc; ;;;;;;;;;;;;;
divider_for_org_o; ;;;;;;;;;;;;;
divider_for_org_o_desc; ;;;;;;;;;;;;;
divider_for_org_p; ;;;;;;;;;;;;;
divider_for_org_p_desc; ;;;;;;;;;;;;;
divider_for_org_q; ;;;;;;;;;;;;;
divider_for_org_q_desc; ;;;;;;;;;;;;;
divider_for_org_r; ;;;;;;;;;;;;;
divider_for_org_r_desc; ;;;;;;;;;;;;;
divider_for_org_s; ;;;;;;;;;;;;;
divider_for_org_s_desc; ;;;;;;;;;;;;;
divider_for_org_t; ;;;;;;;;;;;;;
divider_for_org_t_desc; ;;;;;;;;;;;;;
lon_cooldown;League of Nations Cooldown;;;;;;;;;;;;;
lon_cooldown_desc;We must wait some time before addressing the League again;;;;;;;;;;;;;
league_of_nations_founding_memeber;League of Nations Member (Founding Member);;;;;;;;;;;;;
league_of_nations_founding_memeber_desc;Following the end of the last Great War, our nation became a founding member of the League of Nations. As such, we enjoy increased prestige, enhanced diplomatic opportunities, and improved international relations.;;;;;;;;;;;;;
league_of_nations;League of Nations Member;;;;;;;;;;;;;
league_of_nations_desc;We have acceded to the League of Nations. it offers us enhanced diplomatic opportunities, and improved international relations.;;;;;;;;;;;;;
