Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
RGA_liberal_2;Républicains modérés;;;;;;;;;;;;;
RGA_conservative_2;Front Algérie Française;;;;;;;;;;;;;
RGA_socialist;Section Algérie de l'Internationale ouvrière;;;;;;;;;;;;;
RGA_reactionary_2;Action Algérie;;;;;;;;;;;;;
RGA_radical;Parti radical;;;;;;;;;;;;;
RGA_communist;Parti Communiste Algérien;;;;;;;;;;;;;
RGA_fascist;Organisation Armée Secrète;;;;;;;;;;;;;
RGA_democracy;Algeria;;;;;;;;;;;;;
RGA_dominion;Algerie;;;;;;;;;;;;;
RGA_dominion_ADJ;French;;;;;;;;;;;;;
RGA_fascist_dictatorship;The Free Republic of Algerie;;;;;;;;;;;;;
RGA_fascist_dictatorship_ADJ;French;;;;;;;;;;;;;
RGA;Algiers;;;;;;;;;;;;;
RGA_ADJ;Algerian;;;;;;;;;;;;;
WES_dominion;Westfalen;;;;;;;;;;;;;
ALD_unciv_absolute_monarchy;Abdelkader Emirate;;;;;;;;;;;;;
RHI_dominion;Rheinland;;;;;;;;;;;;;
TUG;Touggourt;;;;;;;;;;;;;
TUG_ADJ;Touggourt;;;;;;;;;;;;;
ABA;Beni Abbas;;;;;;;;;;;;;
ABA_ADJ;Mokrani;;;;;;;;;;;;;
GNG_theocracy;Tian Di Hui;;;;;;;;;;;;;
BUS;Ilorin;;;;;;;;;;;;;
BUS_ADJ;Ilorin ;;;;;;;;;;;;;
YEK;Yeke;;;;;;;;;;;;;
YEK_ADJ;Garanganze;;;;;;;;;;;;;
SPA_absolute_empire;The Spanish Empire;;;;;;;;;;;;;
SPA_semi_constitutional_empire;The Spanish Empire;;;;;;;;;;;;;
SPA_constitutional_empire;The Spanish Empire;;;;;;;;;;;;;
MOR_conservative;Sulalat al-Alawiyyin al-Filaliyn;;;;;;;;;;;;;
MOR_reactionary;Sulalat al-Alawiyyin al-Filaliyn;;;;;;;;;;;;;
MEX_absolute_empire;The Mexican Empire;;;;;;;;;;;;;
MEX_semi_constitutional_empire;The Mexican Empire;;;;;;;;;;;;;
MEX_constitutional_empire;The Mexican Empire;;;;;;;;;;;;;
BRZ_absolute_empire;The Empire of Brazil;;;;;;;;;;;;;
BRZ_semi_constitutional_empire;The Empire of Brazil;;;;;;;;;;;;;
BRZ_constitutional_empire;The Empire of Brazil;;;;;;;;;;;;;
PNJ_absolute_empire;The Sikh Empire;;;;;;;;;;;;;
PNJ_semi_constitutional_empire;The Sikh Empire;;;;;;;;;;;;;
PNJ_constitutional_empire;The Sikh Empire;;;;;;;;;;;;;
QNG_absolute_empire;The Qing Empire;;;;;;;;;;;;;
QNG_semi_constitutional_empire;The Qing Empire;;;;;;;;;;;;;
QNG_constitutional_empire;The Qing Empire;;;;;;;;;;;;;
TUR_absolute_empire;The Ottoman Empire;;;;;;;;;;;;;
TUR_semi_constitutional_empire;The Ottoman Empire;;;;;;;;;;;;;
TUR_constitutional_empire;The Ottoman Empire;;;;;;;;;;;;;
TUR_absolute_empire_ADJ;Ottoman;;;;;;;;;;;;;
TUR_semi_constitutional_empire_ADJ;Ottoman;;;;;;;;;;;;;
TUR_constitutional_empire_ADJ;Ottoman;;;;;;;;;;;;;
unciv_absolute_monarchy;Absoute Monarchy;;;;;;;;;;;;;
unciv_absolute_monarchy_ruler;Emir;;;;;;;;;;;;;
absolute_empire;Empire;;;;;;;;;;;;;
absolute_empire_ruler;Emperor;;;;;;;;;;;;;
semi_constitutional_empire;Semi-Constitutional Empire;;;;;;;;;;;;;
semi_constitutional_empire_ruler;Emperor;;;;;;;;;;;;;
constitutional_empire;Constitutional Empire;;;;;;;;;;;;;
constitutional_empire_ruler;Emperor;;;;;;;;;;;;;
TRE_dominion;Freistadt Triest;;;;;;;;;;;;;
TUN_conservative;Bey Faction;;;;;;;;;;;;;
ORI_absolute_monarchy;Kalahandi;;;;;;;;;;;;;
KAS_conservative;Dogra Dynasty;;;;;;;;;;;;;
NEP_conservative;Rana Dynasty;;;;;;;;;;;;;
SIK_conservative;Chogyal Dynasty;;;;;;;;;;;;;
CAM_conservative;Norodom Dynasty;;;;;;;;;;;;;
MLD_conservative;Huraa Dynasty;;;;;;;;;;;;;
BHU_conservative;Wangchuck Dynasty;;;;;;;;;;;;;
CRL_conservative;Katoor Dynasty;;;;;;;;;;;;;
AWA_conservative;Maharaja's Faction;;;;;;;;;;;;;
TRA_conservative;Kupaka Swaroopam;;;;;;;;;;;;;
MNP_conservative;Maharaja's Faction;;;;;;;;;;;;;
MYS_conservative;Maharaja's Faction;;;;;;;;;;;;;
ORI_conservative;Maharaja's Faction;;;;;;;;;;;;;
BAS_conservative;Bhanj Dynasty;;;;;;;;;;;;;
NAG_conservative;Bhonsle Dynasty;;;;;;;;;;;;;
HYD_conservative;Asaf Jah Dynasty;;;;;;;;;;;;;
BUN_conservative;Maharaja's Faction;;;;;;;;;;;;;
IND_conservative;Maharaja's Faction;;;;;;;;;;;;;
BHO_conservative;Begum's Faction;;;;;;;;;;;;;
KUT_conservative;Jadeja Dynasty;;;;;;;;;;;;;
BER_conservative;Gaekwad Dynasty;;;;;;;;;;;;;
GWA_conservative;Scindia Dynasty;;;;;;;;;;;;;
MEW_conservative;Rajput Faction;;;;;;;;;;;;;
JOD_conservative;Rajput Faction;;;;;;;;;;;;;
JAI_conservative;Rajput Faction;;;;;;;;;;;;;
BIK_conservative;Rajput Faction;;;;;;;;;;;;;
JAS_conservative;Rajput Faction;;;;;;;;;;;;;
BHP_conservative;Nawab's Faction;;;;;;;;;;;;;
SIN_conservative;Emir's Faction;;;;;;;;;;;;;
QAT_conservative;Al-Thani;;;;;;;;;;;;;
KWT_conservative;Al-Subah;;;;;;;;;;;;;
MAK_conservative;Khan's Faction;;;;;;;;;;;;;
KAL_conservative;Khan's Faction;;;;;;;;;;;;;
KOK_conservative;Khan's Faction;;;;;;;;;;;;;
KHI_conservative_1;Khan's Faction;;;;;;;;;;;;;
AFG_conservative;Amir's Faction;;;;;;;;;;;;;
BUK_conservative;Amir's Faction;;;;;;;;;;;;;
URM;Shakak;;;;;;;;;;;;;
URM_ADJ;Shakaki;;;;;;;;;;;;;
