Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
general_colonization_law_title;Ley General de Colonización;;;;;;;;;;;;;
general_colonization_law_desc;The General Colonization Law was a political reform imposed in 1824. Its purpose was to attract immigrants to the least populated areas of our nation. This law was the main cause behind the immigration of American settlers to Texas. This law, although not officially discontinued, has been de facto out of commission due to recent conflicts. Now that we are at peace, we can instate the law once again to attract more immigrants.;;;;;;;;;;;;;
claim_oregon_territory_title;Claim the Oregon Country!;;;;;;;;;;;;;
claim_oregon_territory_desc;§RGain 5 infamy§! The Oregon Country territory was first explored by Spanish explorers, which later discussed the territory in the Nutka conventions. This is a solid claim for the Mexican state to take it back.;;;;;;;;;;;;;
claim_luisiana_title;Claim the Luisiana Territory!;;;;;;;;;;;;;
claim_luisiana_desc;§RGain 20 infamy§! On 1764, the formal acquisition of the Louisiana territory was announced by Spain and attached as a Spanish governance to the general Cuban captaincy, which was part of the Viceroyalty of New Spain, later Mexico. This lays a solid claim on this vast territory for the Mexican people.;;;;;;;;;;;;;
claim_florida_title;Claim the Florida Peninsula!;;;;;;;;;;;;;
claim_florida_desc;§RGain 5 infamy§! The Florida peninsula was the first important European settlement in North America, it formed part of the general Cuban captaincy, which was part of the Viceroyalty of New Spain just like the Louisiana Territory, this naturally also gives us claim on the territory and its corridor.;;;;;;;;;;;;;
EVTNAME4206969;Shall we join $FROMCOUNTRY$?;;;;;;;;;;;;;
EVTDESC4206969;Now that $FROMCOUNTRY$ has formed, our role as spherelings is being questioned, as well as our sovereignty, $FROMCOUNTRY$ demands annexation. Now we have to choose between joining the union or staying independent, even if it might mean through war.;;;;;;;;;;;;;
EVTNAME4206970;$FROMCOUNTRY$ demands territory from us!;;;;;;;;;;;;;
EVTDESC4206970;The foreign minister from $FROMCOUNTRY$ has sent an ultimatum to our country, demanding us to give parts from our land that supposedly "belongs" to them. This is an insult to our sovereignty, but it may also mean war if we decline.;;;;;;;;;;;;;
hsa_capital_stuff_title;Select Capital;;;;;;;;;;;;;
hsa_capital_stuff_desc;We need to decide what our new capital will be.;;;;;;;;;;;;;
claim_patria_grande_title;Claim Patria Grande;;;;;;;;;;;;;
claim_patria_grande_desc;The dream of uniting all of the Hispanic-American people's from the former Spanish colonies in America into a single entity has been a concept most people often thought as impossible, but with our current position, we can take the first step. \n\n§BYou need to annex, have in sphere or in a vassal the next cities: Mexico City, Guatemala, San Salvador, Panama City, Bogota, Caracas, Quito, Lima, La Paz, Santiago, Concepcion, Buenos Aires and Montevideo.;;;;;;;;;;;;;
form_patria_grande_title;Form Patria Grande;;;;;;;;;;;;;
form_patria_grande_desc;§RGain 20 infamy§! Now we have all the land of Patria Grande under our control, it's time to celebrate the birth of our new nation! \n\n§BYou need to annex, have in sphere or in a vassal the next cities: Mexico City, Guatemala, San Salvador, Panama City, Bogota, Caracas, Quito, Lima, La Paz, Santiago, Concepcion, Buenos Aires and Montevideo.;;;;;;;;;;;;;
claim_tordesillas_title;Claim Tordesillas;;;;;;;;;;;;;
claim_tordesillas_desc;In 1494 the Iberian powers agreed to split the world in half between themselves, however, our interest is in how this treaty organized the Portuguese claims in South America. The nation of Brazil which gained independence from Portugal went far away from the lines established in the treaty, it's in our right to claim those lands!;;;;;;;;;;;;;
claim_hsa_caribbean_title;Claim the Hispanic Caribbean!;;;;;;;;;;;;;
claim_hsa_caribbean_desc;The islands of Cuba, Puerto Rico and Hispaniola were under Spanish control as colonies, it's our will to integrate these people's with our same language and religion to our nation!;;;;;;;;;;;;;
EVTDESC111025;\n\nBenito Pablo Juárez García became president as a result of the Reform War after a self-inflicted coup d'etát from Ignacio Comonfort. He was also the very first indigenous president, with Zapotec as his first language. He was essential in keeping the Mexican Republic alive in the north during the Second French Intervention as well as implementing several educational reforms and substracting power from the church.;;;;;;;;;;;;;
EVTOPTA111025;Let's hope this brings peace and stability to our nation.;;;;;;;;;;;;;
benito_juarez;Benito Juárez;;;;;;;;;;;;;
benito_juarez_desc;President Juárez's presidency could be described by some as illegitimate, but a fact is that his government marked early Mexican history with more pros than cons, such as educational reforms.;;;;;;;;;;;;;
