chukchi;Chukchi;;;;;;;;;;;;;
chechen;Chechen;;;;;;;;;;;;;
gagauz;Gagauz;;;;;;;;;;;;;
nivkh;Nivkh;;;;;;;;;;;;;
miskito;Miskito;;;;;;;;;;;;;
astrakhani;Astrakhani;;;;;;;;;;;;;
maldivian;Maldivian;;;;;;;;;;;;;
nicobarese;Nicobarese;;;;;;;;;;;;;
moriori;Moriori;;;;;;;;;;;;;
nenets;Nenets;;;;;;;;;;;;;
chamorro;Chamorro;;;;;;;;;;;;;
hainanese;Hainanese;;;;;;;;;;;;;
macanese;Macanese;;;;;;;;;;;;;
tujia;Tujia;;;;;;;;;;;;;
dongxiang;Dongxiang;;;;;;;;;;;;;
livonian;Livonian;;;;;;;;;;;;;
waxiang;Waxiang;;;;;;;;;;;;;
salar;Salar;;;;;;;;;;;;;
gejia;Gejia;;;;;;;;;;;;;
tsakonian;Tsakonian;;;;;;;;;;;;;
lizu;Hlai;;;;;;;;;;;;;
aynu;Äynu;;;;;;;;;;;;;
chuanqing;Chuanqing;;;;;;;;;;;;;
tunbao;Tunbao;;;;;;;;;;;;;
bonan;Bonan;;;;;;;;;;;;;
qaraqalpaq;Qaraqalpaq;;;;;;;;;;;;;
hoklo;Hoklo;;;;;;;;;;;;;
leizhou;Leizhou;;;;;;;;;;;;;
hokchia;Hokchia;;;;;;;;;;;;;
teo_swa;Teo-Swa;;;;;;;;;;;;;
putian;Putian;;;;;;;;;;;;;
nanping;Nanping;;;;;;;;;;;;;
min_vietnamese;Min-Vietnamese;;;;;;;;;;;;;
khanty;Khanty;;;;;;;;;;;;;
mansi;Mansi;;;;;;;;;;;;;
yoruk;Yörük;;;;;;;;;;;;;
daur;Daur;;;;;;;;;;;;;
oroqen;Oroqen;;;;;;;;;;;;;
gutnic;Gutnic;;;;;;;;;;;;;
monguor;Monguor;;;;;;;;;;;;;
kam_culture;Kam;;;;;;;;;;;;;
she;She;;;;;;;;;;;;;
moghol;Moghol;;;;;;;;;;;;;
faroese;Faroese;;;;;;;;;;;;;
kongo;Kongo;;;;;;;;;;;;;
maroon;Maroon;;;;;;;;;;;;;
tanka;Tanka;;;;;;;;;;;;;
mandar;Mandar;;;;;;;;;;;;;
roti;Roti;;;;;;;;;;;;;
seminole;Seminole;;;;;;;;;;;;;
okinawan;Okinawan;;;;;;;;;;;;;
afro_turk;Afro-Turkish;;;;;;;;;;;;;
siddi;Sidhi;;;;;;;;;;;;;
franco_indian;Franco-Indian;;;;;;;;;;;;;
luso_indian;Luso-Indian;;;;;;;;;;;;;
aleut;Aleut;;;;;;;;;;;;;
eyak;Eyak;;;;;;;;;;;;;
inupiat;Iñupiat;;;;;;;;;;;;;
tlingit;Tlingit;;;;;;;;;;;;;
haida;Haida;;;;;;;;;;;;;
yupik;Yupik;;;;;;;;;;;;;
tsimshian;Tsimshian;;;;;;;;;;;;;
alaska_athabaskan;Alaska-Athabaskan;;;;;;;;;;;;;
kumzari;Kumzari;;;;;;;;;;;;;
lari;Lari;;;;;;;;;;;;;
talish;Talysh;;;;;;;;;;;;;
gilaki;Gilaki;;;;;;;;;;;;;
tati;Tati;;;;;;;;;;;;;
galechi;Galechi;;;;;;;;;;;;;
semnani;Semnani;;;;;;;;;;;;;
ydigha;Ydigha;;;;;;;;;;;;;
munji;Munji;;;;;;;;;;;;;
bachatiari;Bakhtiari;;;;;;;;;;;;;
mamasani;Southern Luri;;;;;;;;;;;;;
waneci;Waneci;;;;;;;;;;;;;
ormuri;Ormuri;;;;;;;;;;;;;
brahui;Brahui;;;;;;;;;;;;;
minabi;Minabi;;;;;;;;;;;;;
yaghnobi;Yaghnobi;;;;;;;;;;;;;
pashai;Pashai;;;;;;;;;;;;;
khowar;Khowar;;;;;;;;;;;;;
shina;Shina;;;;;;;;;;;;;
kohistani;Kohistani;;;;;;;;;;;;;
mishmi;Mishmi;;;;;;;;;;;;;
mountain_jewish;Mountain Jewish;;;;;;;;;;;;;
basseri;Basseri;;;;;;;;;;;;;
